province,total_applications,approved,rejected,under_review,avg_loan_amount,total_loan_volume,_layer
NT,1,0,0,1,300000.00,300000.00,gold
MB,1,1,0,0,135000.00,135000.00,gold
AB,2,1,1,0,180000.00,180000.00,gold
NS,1,0,1,0,45000.00,45000.00,gold
NB,1,1,0,0,200000.00,200000.00,gold
NL,1,1,0,0,60000.00,60000.00,gold
BC,2,1,0,1,92500.00,185000.00,gold
QC,4,3,0,1,223750.00,895000.00,gold
ON,4,4,0,0,271250.00,1085000.00,gold
SK,1,1,0,0,75000.00,75000.00,gold
YT,1,0,0,1,250000.00,250000.00,gold
PE,1,1,0,0,120000.00,120000.00,gold
